EventId,EventTemplate,Occurrences
8f02bf22,<*> <*>:8f:6a:a6:ae:<*>,3
d1bf642e,<*> <*>:8f:6a:a6:ae:<*> iPhone,2
7122d63f,<*> d4:<*>:<*>:e2:5a:e<*>,1
1d226d53,<*> d4:<*>:<*>:e2:5a:e8 Rachels-Air,1
0a5072b9,<*> 7e:e3:dd:<*>:eb:0b,3
0a789a98,<*> 7e:e3:dd:<*>:eb:0b iPhone,3
b34891d9,<*> <*>:9f:9a:e4:ac:<*>,10
44dc0e3d,<*> 3e:2d:<*>:1d:cd:fc,18
2ae7cbe6,06:5c:b6:0b:6f:b<*>,3
07ef09d3,<*> <*>:5c:b6:0b:6f:b<*>,11
02c511fd,<*> c6:<*>:cf:6f:e3:<*>,64
7c5f7a8a,<*> c6:<*>:cf:6f:e3:<*> OPPO-A77s,49
80e11ed1,<*> f6:4c:9c:6d:c3:a<*>,2
fdd7b63b,36:e2:4b:<*>:a4:c<*>,2
3ca950d1,<*> <*>:e2:4b:<*>:a4:c<*>,3
5fbf04ce,<*> <*>:e2:4b:<*>:a4:c0 iPhone,1
c3aaddda,<*> <*>:5c:<*>:1d:fb:<*>,102
37902d03,<*> <*>:5c:<*>:1d:fb:<*> iPhone,79
f6a28a7d,<*> <*>:1f:f2:2c:f0:4b,1
cf9f6097,<*> <*>:1f:f2:2c:f0:4b Z-Flip4-cua-Huong-Giang,1
392a581b,<*> <*>:a4:c0:<*>:c9:2d,2
88a6b301,<*> <*>:ed:<*>:a7:<*>:c<*>,3
75d6b7e2,04:ed:<*>:a7:<*>:c<*>,1
57f88a49,<*> <*>:ed:<*>:a7:<*>:c7 DESKTOP-550EUU<*>,1
207ecbce,<*> <*>:8c:a0:<*>:7e:6b,2
75115d79,<*> <*>:8c:a0:<*>:7e:6b VANPHUC<*>,2
dfbe3e07,<*> <*>:b8:ba:<*>:bb:be,3
320e2ce0,<*> <*>:b8:ba:<*>:bb:be V50S-ThinQ,3
176b5aca,<*> <*>:bf:<*>:b8:d9:f<*>,2
33f4226f,<*> <*>:bf:<*>:b8:d9:f8 iPhone,2
51544666,<*> <*>:<*>:<*>:<*>:2c:d<*>,1
9af0ea3e,<*> <*>:<*>:<*>:<*>:2c:d3 iPhone,1
dea5d846,3a:4e:<*>:4e:<*>:c<*>,1
59b52d1c,<*> 3a:4e:<*>:4e:<*>:c<*>,2
21a1440f,<*> 3a:4e:<*>:4e:<*>:c1 Redmi-Note-<*>-Pro-5G,1
8d0a8fed,<*> 8e:c8:2b:<*>:ea:<*>,45
cafa5687,<*> 8e:c8:2b:<*>:ea:<*> iPhone,27
71be8440,<*> <*>:6a:c5:<*>:<*>:ad,4
28384f01,<*> <*>:6a:c5:<*>:<*>:ad hait<*>,4
f61599b1,<*> f8:<*>:d2:c7:<*>:5f,1
b222e99c,<*> f8:<*>:d2:c7:<*>:5f DESKTOP-SV3DKME,1
433fb70f,fa:f5:<*>:<*>:b4:4f,2
97e46ab4,<*> fa:f5:<*>:<*>:b4:4f,6
c0093906,<*> 5a:3f:<*>:<*>:cb:f<*>,3
31de499e,<*> 5a:3f:<*>:<*>:cb:f3 2107113SG,2
7360da68,<*> 8e:<*>:<*>:d9:<*>:2a,12
fe44a3ca,72:fd:d4:0c:f0:<*>,3
25bf8d95,<*> <*>:fd:d4:0c:f0:<*>,7
89ec0621,<*> <*>:fd:d4:0c:f0:<*> S21-cua-Bao,4
8ddfa351,<*> a8:<*>:4a:9b:<*>:ff,3
875539c4,<*> a8:<*>:4a:9b:<*>:ff MSI,3
a7cab1bf,<*> 1a:a3:f1:1d:<*>:<*>,3
ca90cac2,<*> 1a:a3:f1:1d:<*>:<*> iPhone,3
5a0982ba,<*> c4:9d:ed:<*>:a1:da,23
